PUBCHEM_CID,Inhibition_at_5_uM,Activity_Class,SMILES,MW,LogP,NumHDonors,NumHAcceptors
11958468.0,82.9,Active (Strong/Moderate),C1=CC(=CC(=C1)NC2=NC3=C(N2)C=C(C=C3)Br)C(=O)NCC4=CC=CS4,427.3270000000001,5.060500000000002,3.0,4.0
983316.0,79.0,Active (Strong/Moderate),C1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)F)C3=CN4C=CSC4=N3,373.434,4.002700000000002,1.0,4.0
3245100.0,100.0,Active (Strong/Moderate),C1=CC(=CC(=C1)NS(=O)(=O)C2=CN=CN2)C(F)(F)F,291.25399999999996,2.2293,2.0,3.0
1477577.0,87.5,Active (Strong/Moderate),C1=CC(=CC(=C1)OCC2=C(C=CC=C2Cl)F)C3=NN(C=C3)S(=O)(=O)C4=CC=C(C=C4)F,460.8890000000001,5.297700000000003,0.0,4.0
3780203.0,86.9,Active (Strong/Moderate),C1=CC(=CC(=C1)[N+](=O)[O-])C(=NC2=CC(=CC=C2)Cl)NO,291.694,3.3053000000000017,2.0,4.0
2830011.0,88.5,Active (Strong/Moderate),C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=C(C=C(C=C2)Cl)Cl,516.621,5.314300000000001,3.0,4.0
135476816.0,86.5,Active (Strong/Moderate),C1=CC(=CC=C1/C(=N\O)/C2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,335.11199999999997,4.6338,1.0,3.0
6106925.0,99.0,Active (Strong/Moderate),C1=CC(=CC=C1/C=C\2/C(=O)N(C(=S)N2)CCCN3C=CN=C3)C#N,337.408,1.90268,1.0,4.0
135400459.0,84.4,Active (Strong/Moderate),C1=CC(=CC=C1/C=N/N2C(=NN=N2)N)O,204.193,-0.15690000000000065,2.0,6.0
135476853.0,99.8,Active (Strong/Moderate),C1=CC(=CC=C1/C=N/NC2=NC=CN=C2Cl)O,248.673,2.2815999999999996,2.0,5.0
9582027.0,91.9,Active (Strong/Moderate),C1=CC(=CC=C1/C=N/NS(=O)(=O)C2=CC=C(S2)CC3=C(C=C(C=N3)C(F)(F)F)Cl)Cl,494.3470000000001,5.371900000000001,1.0,5.0
715698.0,97.3,Active (Strong/Moderate),C1=CC(=CC=C1C#N)N=C2C(=NSS2)Cl,253.739,2.962080000000001,0.0,5.0
1251341.0,98.7,Active (Strong/Moderate),C1=CC(=CC=C1C(=O)C2=CC=NC=C2)NS(=O)(=O)C3=CC=C(S3)Br,423.3130000000001,3.937400000000002,1.0,5.0
3385214.0,87.7,Active (Strong/Moderate),C1=CC(=CC=C1C(=O)C2=CNC(=C2)C(=O)NCCCN3C=CN=C3)C(F)(F)F,390.36499999999995,3.2811000000000012,2.0,3.0
2229707.0,76.4,Active (Strong/Moderate),C1=CC(=CC=C1C(=O)CCCSC2=NN=C(S2)SCCCC(=O)C3=CC=C(C=C3)F)F,478.6110000000002,6.326700000000004,0.0,7.0
666173.0,75.1,Active (Strong/Moderate),C1=CC(=CC=C1C(=O)CSC2=NN=C(O2)CCCCCN)Cl,339.84800000000007,3.3695000000000013,1.0,6.0
