PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,Std.Err(IC50),nH,%Inhibition at 5 uM,Mean High,STD Deviation High,Mean Low,STD Deviation Low
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,% inhibition of CYP2C9 in primary screening,Mean luminescence signal of negative controls in the corresponding plate,Standard deviation (n=64) of negative controls in the corresponding plate,Mean luminescence signal of positive controls in the corresponding plate,Standard deviation (n=64) of positive controls in the corresponding plate
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,NONE,NONE,CPS,CPS,CPS,CPS
5251,4249393,3243351,CC1=NON=C1NC(=O)OC2CCCCC2,Inactive,1,,,,,,2.7,79444,5131.6,317.08,281.21
5252,4250258,3244097,COC1=CC=CC2=C1OC(=O)C(=C2)NC(=O)C3CCCCC3,Inactive,0,,,,,,-137.9,79444,5131.6,317.08,281.21
5253,4241204,1193297,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=NN(C=N2)CC3=CC=CC=C3,Inactive,17,,,,,,43.8,79444,5131.6,317.08,281.21
5254,4246147,3240529,COC1=CC(=C(C=C1)OC)NC(=O)CC(CC2=CC=CC=C2OC)C(=O)O,Inactive,16,,,,,,40.6,79444,5131.6,317.08,281.21
5255,4242618,722251,C1=CC=C2C(=C1)N3C(=NN=C3SCC(=O)NCC4=CC=CO4)S2,Inactive,0,,,,,,-186.2,79444,5131.6,317.08,281.21
5256,4244024,3238683,CCCCC(=O)NC1=C2C=CC=C3C2=C(C=C1)N(C3=O)CC,Inactive,7,,,,,,19.4,79444,5131.6,317.08,281.21
5257,4244738,3239295,CC(C)(C)C(=O)NC(=C(Cl)Cl)P(=O)(O)O,Inactive,0,,,,,,-13.9,79444,5131.6,317.08,281.21
5258,4245444,3239915,C1=CC=C2C(=C1)N=C(S2)COC(=O)C3=CC=C(S3)Br,Inactive,4,,,,,,12.3,79444,5131.6,317.08,281.21
5259,4247563,701085,C1=CC=C(C=C1)C(=O)NCSC2=NC=NC=C2,Inactive,1,,,,,,3,79444,5131.6,317.08,281.21
5260,4248226,840403,CC(C)N1C2=C(NC1=S)N(C(=O)NC2=O)C,Inactive,3,,,,,,8.9,79444,5131.6,317.08,281.21
5261,4251041,3244777,COC1=CC2=C(C=C1)OC(=O)C(=C2)NC(=O)C3CCCCC3,Inactive,0,,,,,,-2.8,79444,5131.6,317.08,281.21
5262,4248990,2804810,C1=CC(=CC=C1NC(=O)NCCCN2C=CN=C2)Cl,Active,39,,,,,,98.4,79444,5131.6,317.08,281.21
5263,4249484,3243431,CCOC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=CC=CO3)Cl)Br,Inactive,4,,,,,,10.8,79444,5131.6,317.08,281.21
5264,4241186,3236195,COC(=O)C1=CC=CC=C1N2C(=O)C3C4C=CC(C3C2=O)C45CC5,Inactive,0,,,,,,-0.4,79444,5131.6,317.08,281.21
5265,4250318,3244151,COC1=CC=C(C=C1)C(C2=NC=CN2CC3=CC=CC=C3)O,Inactive,2,,,,,,6.8,79444,5131.6,317.08,281.21
5266,4242593,3237426,C1COCCN1C2=NC(=NC(=N2)OC3=CC=C(C=C3)Cl)OC4=CC=C(C=C4)Cl,Inactive,6,,,,,,15.1,79444,5131.6,317.08,281.21
5267,4245695,3240136,CCOC(=O)CSC1=C(C(CC(=O)N1)C2=C(C=CS2)C)C#N,Active,21,,,,,,54.8,79444,5131.6,317.08,281.21
5268,4244010,3238669,CCOC(=O)CC1=CSC(=N1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCCCC3,Inactive,13,,,,,,34.2,79444,5131.6,317.08,281.21
5269,4248247,3242349,CC1=C(SC(=N1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N(CCOC)CCOC)C(=O)C,Inactive,0,,,,,,-7.9,79444,5131.6,317.08,281.21
5270,4249640,3243567,COC(=O)CNC(=O)CCCCC(=O)NCC(=O)OC,Inactive,0,,,,,,-13.6,79444,5131.6,317.08,281.21
5271,4247564,135412064,CCCCCSC1=NN=CC(=O)N1,Inactive,0,,,,,,-15.6,79444,5131.6,317.08,281.21
5272,4251030,135482459,CCCCCSC1=NN=C(C(=O)N1)C,Inactive,0,,,,,,-4.9,79444,5131.6,317.08,281.21
5273,4243443,6859930,C1=CC=C(C(=C1)/C=N/N2C(=NN=N2)N)OCC3=C(C=C(C=C3)Cl)Cl,Inactive,1,,,,,,4.9,79444,5131.6,317.08,281.21
5274,4250823,3244582,C=CCNC(=O)C1=CC=CC=C1Cl,Inactive,0,,,,,,-15.3,79444,5131.6,317.08,281.21
5275,4241122,135447668,CC1(CC(=C(C(=O)C1)C=NCCCOC)O)C,Inactive,0,,,,,,-11.8,79444,5131.6,317.08,281.21
5276,4241678,54708404,C/C(=C/1\C2CC(NC1=O)(OC3=C2C=CC=C3OC)C)/O,Inactive,0,,,,,,-1.7,79444,5131.6,317.08,281.21
5277,4249113,135449344,CC1=CC(=O)NC(=N1)SCC2=NC3=CC=CC=C3N2CC4=CC=CC=C4,Inactive,17,,,,,,44,79444,5131.6,317.08,281.21
5278,4251736,2835548,CCOC(=O)N(C1=CC=CC=C1)P2(=S)OCC(O2)C,Inactive,6,,,,,,15.1,79444,5131.6,317.08,281.21
5279,4251967,772165,C1COCCN1CC(=O)NC2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,Inactive,4,,,,,,10.7,79444,5131.6,317.08,281.21
5280,4244175,2788076,COC1=C(C=C(C=C1)CCNC(=O)C2CCCCC2C(=O)O)OC,Inactive,0,,,,,,-1.6,79444,5131.6,317.08,281.21
5281,4243590,3238292,CCC1=CC=C(C=C1)NC(=O)C2=NOC(=C2)C(C)C,Inactive,4,,,,,,10.2,79444,5131.6,317.08,281.21
5282,4245293,998899,C1CC2=C(C(=O)OC3=C2C=C(C=C3)O)N(C1)C(=O)CN4CCN(CC4)CC5=CC=CC=C5,Inactive,0,,,,,,-4.7,79444,5131.6,317.08,281.21
5283,4242503,3237350,COC(=O)NCC1=CC=C(C=C1)CNC(=O)OC,Inactive,0,,,,,,-0.4,79444,5131.6,317.08,281.21
5284,4245688,3240130,CC(=O)NCC(=O)N(C)C(C1=CC=C(C=C1)OC)C(=O)NC2=CC=C(C=C2)OC,Inactive,0,,,,,,-16.1,79444,5131.6,317.08,281.21
5285,4245623,3240071,CC(C)C1=CC(=NO1)C(=O)NC2=CC(=CC=C2)Cl,Inactive,0,,,,,,2.4,79444,5131.6,317.08,281.21
5286,4248757,3152509,CC1=C(NC(=O)C(=C1)C(=O)O)C,Inactive,0,,,,,,-7.3,79444,5131.6,317.08,281.21
